Sample	TotalReads	UniquelyMapping	ReadsAssignedToGenes	PercentReadsInGenes
Donor1_Day07_P1_Rep1	46826803	31514932	22361322	47.8
Donor1_Day07_P2_Rep1	50492856	28857888	22948602	45.4
Donor1_Day07_P3_Rep1	49610126	33585144	24795666	50
Donor1_Day07_P4_Rep1	30013989	15900300	12474740	41.6
Donor1_Day14_P5_Rep1	27974430	16632640	10741057	38.4
Donor1_Day14_P6_Rep1	44885042	33199782	22625064	50.4
Donor1_Day14_P7_Rep1	53063342	35506328	20378864	38.4
Donor1_Day14_P8_Rep1	52040335	39344392	29572670	56.8
Donor1_Day15_P5_Rep2	32520332	18609894	12428311	38.2
Donor1_Day15_P6_Rep2	36302271	26796253	19323002	53.2
Donor1_Day15_P7_Rep2	36493075	16719212	6508142	17.8
Donor1_Day15_P8_Rep2	33519644	24350829	16403767	48.9
Donor2_Day06_P1_Rep2	43193660	26132967	18575301	43
Donor2_Day06_P2_Rep2	33382720	21826897	14279286	42.8
Donor2_Day06_P3_Rep2	34880250	19875141	13216659	37.9
Donor2_Day06_P4_Rep2	39244308	22341583	18283326	46.6
Donor3_Day07_P1_Rep3	49297570	27688008	21548465	43.7
Donor3_Day07_P2_Rep3	34780023	21754416	14252632	41
Donor3_Day07_P3_Rep3	54646839	34397488	24726545	45.2
Donor3_Day07_P4_Rep3	53368160	30097231	24750899	46.4
Donor3_Day14_P5_Rep3	29230667	15876004	11527881	39.4
Donor3_Day14_P5_Rep4	28320521	15053757	11699065	41.3
Donor3_Day14_P6_Rep3	47805531	37231177	26959973	56.4
Donor3_Day14_P6_Rep4	38206976	27930138	19764030	51.7
Donor3_Day14_P7_Rep3	46949167	36082678	27185170	57.9
Donor3_Day14_P7_Rep4	35948022	20311639	8859184	24.6
Donor3_Day14_P8_Rep3	28348364	20720587	14032920	49.5
Donor3_Day14_P8_Rep4	43359307	32519161	23521652	54.2
